,Metric,Condition,participant1,participant2,r
0,hardness,walking,PPT_005,PPT_016,0.7738412042375398
0,hardness,walking,PPT_005,PPT_017,0.8404763411356249
0,hardness,walking,PPT_005,PPT_018,0.8211112698735944
0,hardness,walking,PPT_005,PPT_019,0.901998647079223
0,hardness,walking,PPT_005,PPT_020,0.792341678939617
0,hardness,walking,PPT_006,PPT_007,0.7317091157615131
0,hardness,walking,PPT_006,PPT_008,0.7317614367168289
0,hardness,walking,PPT_006,PPT_009,0.8123288456532771
0,hardness,walking,PPT_006,PPT_010,0.6332105045439442
0,hardness,walking,PPT_006,PPT_011,0.7114393081356204
0,hardness,walking,PPT_006,PPT_012,0.7680554266139771
0,hardness,walking,PPT_006,PPT_013,0.7662755430360451
0,hardness,walking,PPT_006,PPT_014,0.6787304302485774
0,hardness,walking,PPT_006,PPT_015,0.873616338212231
0,hardness,walking,PPT_006,PPT_016,0.5599136931257588
0,hardness,walking,PPT_006,PPT_017,0.8388786327164823
0,hardness,walking,PPT_006,PPT_018,0.6954129516587582
0,hardness,walking,PPT_006,PPT_019,0.7368218756058754
0,hardness,walking,PPT_006,PPT_020,0.7280768373375901
0,hardness,walking,PPT_007,PPT_008,0.7813918883317146
0,hardness,walking,PPT_007,PPT_009,0.9092999633995175
0,hardness,walking,PPT_007,PPT_010,0.6464504114557056
0,hardness,walking,PPT_007,PPT_011,0.7758884229027864
0,hardness,walking,PPT_007,PPT_012,0.8748292552126962
0,hardness,walking,PPT_007,PPT_013,0.7635287494426188
0,hardness,walking,PPT_007,PPT_014,0.6706145434433345
0,hardness,walking,PPT_007,PPT_015,0.885925925925926
0,hardness,walking,PPT_007,PPT_016,0.610822999554095
0,hardness,walking,PPT_007,PPT_017,0.8192592592592592
0,hardness,walking,PPT_007,PPT_018,0.5703726025538634
0,hardness,walking,PPT_007,PPT_019,0.7361805950688722
0,hardness,walking,PPT_007,PPT_020,0.5974915289795435
0,hardness,walking,PPT_008,PPT_009,0.9281155407089455
0,hardness,walking,PPT_008,PPT_010,0.8908564262155206
0,hardness,walking,PPT_008,PPT_011,0.9144552719430841
0,hardness,walking,PPT_008,PPT_012,0.8670478312739832
0,hardness,walking,PPT_008,PPT_013,0.9349657338686607
0,hardness,walking,PPT_008,PPT_014,0.8878250542436188
0,hardness,walking,PPT_008,PPT_015,0.901037905259633
0,hardness,walking,PPT_008,PPT_016,0.8396214021144653
0,hardness,walking,PPT_008,PPT_017,0.8988222382794864
0,hardness,walking,PPT_008,PPT_018,0.7780511851966788
0,hardness,walking,PPT_008,PPT_019,0.8868644415913163
0,hardness,walking,PPT_008,PPT_020,0.8998527245949925
0,hardness,walking,PPT_009,PPT_010,0.7936261581441405
0,hardness,walking,PPT_009,PPT_011,0.8381701894712204
0,hardness,walking,PPT_009,PPT_012,0.9252080134760121
0,hardness,walking,PPT_009,PPT_013,0.8921170463037745
0,hardness,walking,PPT_009,PPT_014,0.7607802183741597
0,hardness,walking,PPT_009,PPT_015,0.941270444532943
0,hardness,walking,PPT_009,PPT_016,0.7172650814318922
0,hardness,walking,PPT_009,PPT_017,0.9264004533080938
0,hardness,walking,PPT_009,PPT_018,0.7107631258795146
0,hardness,walking,PPT_009,PPT_019,0.8646154226932494
0,hardness,walking,PPT_009,PPT_020,0.815436976661214
0,hardness,walking,PPT_010,PPT_011,0.8138847858197933
0,hardness,walking,PPT_010,PPT_012,0.7314190557343423
0,hardness,walking,PPT_010,PPT_013,0.8993360440944245
0,hardness,walking,PPT_010,PPT_014,0.9046565663821957
0,hardness,walking,PPT_010,PPT_015,0.7773677144621814
0,hardness,walking,PPT_010,PPT_016,0.8904537127947264
0,hardness,walking,PPT_010,PPT_017,0.7566576326306487
0,hardness,walking,PPT_010,PPT_018,0.8260407982348635
0,hardness,walking,PPT_010,PPT_019,0.8715012691179751
0,hardness,walking,PPT_010,PPT_020,0.831859311896612
0,hardness,walking,PPT_011,PPT_012,0.827403855520436
0,hardness,walking,PPT_011,PPT_013,0.833458753621664
0,hardness,walking,PPT_011,PPT_014,0.9246122259347443
0,hardness,walking,PPT_011,PPT_015,0.8846163525183341
0,hardness,walking,PPT_011,PPT_016,0.8445616677462865
0,hardness,walking,PPT_011,PPT_017,0.875000957382265
0,hardness,walking,PPT_011,PPT_018,0.8267843093043817
0,hardness,walking,PPT_011,PPT_019,0.8290629464478825
0,hardness,walking,PPT_011,PPT_020,0.8451336626183663
0,hardness,walking,PPT_012,PPT_013,0.8628007184425578
0,hardness,walking,PPT_012,PPT_014,0.6843042713045333
0,hardness,walking,PPT_012,PPT_015,0.9031457046999896
0,hardness,walking,PPT_012,PPT_016,0.6950131975699775
0,hardness,walking,PPT_012,PPT_017,0.9247556266771346
0,hardness,walking,PPT_012,PPT_018,0.7131088142936257
0,hardness,walking,PPT_012,PPT_019,0.7856280402450891
0,hardness,walking,PPT_012,PPT_020,0.7377707767395589
0,hardness,walking,PPT_013,PPT_014,0.8333342478295803
0,hardness,walking,PPT_013,PPT_015,0.8925132177950613
0,hardness,walking,PPT_013,PPT_016,0.7959940652818991
0,hardness,walking,PPT_013,PPT_017,0.8576725855389417
0,hardness,walking,PPT_013,PPT_018,0.7794414713545619
0,hardness,walking,PPT_013,PPT_019,0.8620459803916597
0,hardness,walking,PPT_013,PPT_020,0.8152309916657177
0,hardness,walking,PPT_014,PPT_015,0.8297559637968852
0,hardness,walking,PPT_014,PPT_016,0.8437046295803485
0,hardness,walking,PPT_014,PPT_017,0.7549965058633568
0,hardness,walking,PPT_014,PPT_018,0.8623664677952544
0,hardness,walking,PPT_014,PPT_019,0.8759375699687397
0,hardness,walking,PPT_014,PPT_020,0.8398544569652852
0,hardness,walking,PPT_015,PPT_016,0.6864345844503544
0,hardness,walking,PPT_015,PPT_017,0.8977777777777777
0,hardness,walking,PPT_015,PPT_018,0.8041806928957865
0,hardness,walking,PPT_015,PPT_019,0.9061851860950858
0,hardness,walking,PPT_015,PPT_020,0.7784376656915191
0,hardness,walking,PPT_016,PPT_017,0.7279468271384968
0,hardness,walking,PPT_016,PPT_018,0.7958350778266464
0,hardness,walking,PPT_016,PPT_019,0.7405240800721306
0,hardness,walking,PPT_016,PPT_020,0.7686674808090176
0,hardness,walking,PPT_017,PPT_018,0.7029134945311318
0,hardness,walking,PPT_017,PPT_019,0.7460469329409292
0,hardness,walking,PPT_017,PPT_020,0.8670643448973846
0,hardness,walking,PPT_018,PPT_019,0.8781154335255087
0,hardness,walking,PPT_018,PPT_020,0.7268245327362106
0,hardness,walking,PPT_019,PPT_020,0.7756280312552042
0,slipperiness,walking,PPT_001,PPT_002,0.786402524414394
0,slipperiness,walking,PPT_001,PPT_003,0.20140901977844827
0,slipperiness,walking,PPT_001,PPT_004,0.2954212971702187
0,slipperiness,walking,PPT_001,PPT_005,0.5777451826646465
0,slipperiness,walking,PPT_001,PPT_006,0.5719558753164997
0,slipperiness,walking,PPT_001,PPT_007,0.768325025077074
0,slipperiness,walking,PPT_001,PPT_008,0.6868545159207583
0,slipperiness,walking,PPT_001,PPT_009,0.2234513274336283
0,slipperiness,walking,PPT_001,PPT_010,0.6110702771123379
0,slipperiness,walking,PPT_001,PPT_011,0.17394641704538766
0,slipperiness,walking,PPT_001,PPT_012,0.7195972422681999
0,slipperiness,walking,PPT_001,PPT_013,0.5436414325593564
0,slipperiness,walking,PPT_001,PPT_014,0.5379515093688672
0,slipperiness,walking,PPT_001,PPT_015,0.7594426548449692
0,slipperiness,walking,PPT_001,PPT_016,0.27346704326440396
0,slipperiness,walking,PPT_001,PPT_017,0.6498630765226217
0,slipperiness,walking,PPT_001,PPT_018,0.6235234389762413
0,slipperiness,walking,PPT_001,PPT_019,0.4282563121794113
0,slipperiness,walking,PPT_001,PPT_020,0.41222908246819856
0,slipperiness,walking,PPT_002,PPT_003,0.15347111660030405
0,slipperiness,walking,PPT_002,PPT_004,0.3974834545574731
0,slipperiness,walking,PPT_002,PPT_005,0.46085873187050086
0,slipperiness,walking,PPT_002,PPT_006,0.4992609012958825
0,slipperiness,walking,PPT_002,PPT_007,0.8175083181906684
0,slipperiness,walking,PPT_002,PPT_008,0.6943007083331653
0,slipperiness,walking,PPT_002,PPT_009,0.19512243086973685
0,slipperiness,walking,PPT_002,PPT_010,0.6730776595248195
0,slipperiness,walking,PPT_002,PPT_011,0.12759657960870685
